system,tot_energy
Ir_N_din4_x2_c3_a,-628.575
Ni_N_din4_x2_c3_a,-624.211
Os_N_din4_x2_c3_a,-629.799
Pd_N_din4_x2_c3_a,-624.555
Pt_N_din4_x2_c3_a,-626.135
Rh_N_din4_x2_c3_a,-626.592
Ru_N_din4_x2_c3_a,-628.216
Zn_N_din4_x2_c3_a,-619.794
Ag_N_din4_x2_c3_b,-620.601
Au_N_din4_x2_c3_b,-621.582
Cd_N_din4_x2_c3_b,-619.891
Co_N_din4_x2_c3_b,-626.612
Cu_N_din4_x2_c3_b,-622.474
Fe_N_din4_x2_c3_b,-627.272
Ir_N_din4_x2_c3_b,-629.117
Ni_N_din4_x2_c3_b,-624.955
Os_N_din4_x2_c3_b,-630.316
Pd_N_din4_x2_c3_b,-625.41
Pt_N_din4_x2_c3_b,-627.012
Rh_N_din4_x2_c3_b,-627.333
Ru_N_din4_x2_c3_b,-628.573
Zn_N_din4_x2_c3_b,-621.538
Ag_N_din4_x2_c3_b_v2,-620.598
Au_N_din4_x2_c3_b_v2,-611.002
Cd_N_din4_x2_c3_b_v2,-609.536
Co_N_din4_x2_c3_b_v2,-625.659
Cu_N_din4_x2_c3_b_v2,-622.474
Fe_N_din4_x2_c3_b_v2,-627.272
Ir_N_din4_x2_c3_b_v2,-628.464
Ni_N_din4_x2_c3_b_v2,-624.169
Os_N_din4_x2_c3_b_v2,-604.056
Pd_N_din4_x2_c3_b_v2,-623.113
Pt_N_din4_x2_c3_b_v2,-625.904
Rh_N_din4_x2_c3_b_v2,-626.587
Ru_N_din4_x2_c3_b_v2,-628.573
Zn_N_din4_x2_c3_b_v2,-621.538
Ag_N_din4_x2_c3_c,-620.759
Au_N_din4_x2_c3_c,-603.448
Cd_N_din4_x2_c3_c,-618.427
Co_N_din4_x2_c3_c,-625.411
Cu_N_din4_x2_c3_c,-621.24
Fe_N_din4_x2_c3_c,-626.644
Ir_N_din4_x2_c3_c,-627.948
Ni_N_din4_x2_c3_c,-623.808
