system,tot_energy
Fe_Fe_N_din4_x2_c4_c,-637.696
Ir_Fe_N_din4_x2_c4_c,-637.776
Ni_Fe_N_din4_x2_c4_c,-635.237
Os_Fe_N_din4_x2_c4_c,-639.38
Pd_Fe_N_din4_x2_c4_c,-634.112
Pt_Fe_N_din4_x2_c4_c,-635.626
Rh_Fe_N_din4_x2_c4_c,-636.131
Ru_Fe_N_din4_x2_c4_c,-637.525
Zn_Fe_N_din4_x2_c4_c,-628.01
Ag_Fe_N_din4_x2_c4_c_v2,-630.078
Au_Fe_N_din4_x2_c4_c_v2,-631.69
Cd_Fe_N_din4_x2_c4_c_v2,-629.105
Co_Fe_N_din4_x2_c4_c_v2,-636.606
Cu_Fe_N_din4_x2_c4_c_v2,-632.709
Fe_Fe_N_din4_x2_c4_c_v2,-637.659
Ir_Fe_N_din4_x2_c4_c_v2,-637.924
Ni_Fe_N_din4_x2_c4_c_v2,-635.337
Os_Fe_N_din4_x2_c4_c_v2,-639.646
Pd_Fe_N_din4_x2_c4_c_v2,-634.058
Pt_Fe_N_din4_x2_c4_c_v2,-635.867
Rh_Fe_N_din4_x2_c4_c_v2,-636.124
Ru_Fe_N_din4_x2_c4_c_v2,-637.701
Zn_Fe_N_din4_x2_c4_c_v2,-629.177
Ag_Fe_N_din4_x2_c4_d,-630.113
Au_Fe_N_din4_x2_c4_d,-631.494
Cd_Fe_N_din4_x2_c4_d,-628.253
Co_Fe_N_din4_x2_c4_d,-636.405
Cu_Fe_N_din4_x2_c4_d,-632.738
Fe_Fe_N_din4_x2_c4_d,-637.452
Ir_Fe_N_din4_x2_c4_d,-637.576
Ni_Fe_N_din4_x2_c4_d,-635.29
Os_Fe_N_din4_x2_c4_d,-639.234
Pd_Fe_N_din4_x2_c4_d,-634.036
Pt_Fe_N_din4_x2_c4_d,-635.665
Rh_Fe_N_din4_x2_c4_d,-635.869
Ru_Fe_N_din4_x2_c4_d,-637.443
Zn_Fe_N_din4_x2_c4_d,-628.908
Ag_Fe_N_din4_x2_c4_d_v2,-630.1
Au_Fe_N_din4_x2_c4_d_v2,-631.491
Cd_Fe_N_din4_x2_c4_d_v2,-627.64
Co_Fe_N_din4_x2_c4_d_v2,-636.405
Cu_Fe_N_din4_x2_c4_d_v2,-632.738
Fe_Fe_N_din4_x2_c4_d_v2,-637.456
Ir_Fe_N_din4_x2_c4_d_v2,-637.576
Ni_Fe_N_din4_x2_c4_d_v2,-635.29
Os_Fe_N_din4_x2_c4_d_v2,-637.898
Pd_Fe_N_din4_x2_c4_d_v2,-634.037
Pt_Fe_N_din4_x2_c4_d_v2,-635.665
Rh_Fe_N_din4_x2_c4_d_v2,-635.866
Ru_Fe_N_din4_x2_c4_d_v2,-637.442
Zn_Fe_N_din4_x2_c4_d_v2,-628.909
Ag_Fe_N_din4_x2_c4_e,-630.03
Au_Fe_N_din4_x2_c4_e,-631.526
Cd_Fe_N_din4_x2_c4_e,-627.282
Co_Fe_N_din4_x2_c4_e,-636.765
Cu_Fe_N_din4_x2_c4_e,-632.496
Fe_Fe_N_din4_x2_c4_e,-637.908
Ir_Fe_N_din4_x2_c4_e,-638.189
Ni_Fe_N_din4_x2_c4_e,-635.272
Os_Fe_N_din4_x2_c4_e,-639.727
Pd_Fe_N_din4_x2_c4_e,-634.139
Pt_Fe_N_din4_x2_c4_e,-635.841
Rh_Fe_N_din4_x2_c4_e,-636.358
Ru_Fe_N_din4_x2_c4_e,-637.866
Zn_Fe_N_din4_x2_c4_e,-629.173
Ag_Fe_N_din4_x2_c4_f,-609.724
Au_Fe_N_din4_x2_c4_f,-610.729
Cd_Fe_N_din4_x2_c4_f,-610.359
