system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,system_x,tot_energy_M1,system_y,tot_energy_M2,Eint,color
Rh_Fe_N_din4_x2_c2_a,-637.165,Rh,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Rh_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,Rh_N_din4_x2_c2_a,-625.714,Fe_N_din4_x2_c2_a,-627.008,-2.216000000000008,#00ff00
Rh_Fe_N_din4_x2_c2_b,-637.071,Rh,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Rh_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,Rh_N_din4_x2_c2_b,-624.264,Fe_N_din4_x2_c2_b,-626.094,-3.19299999999987,#00ff00
Rh_Fe_N_din4_x2_c2_b_v2,-633.473,Rh,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b_v2,2,Rh_N_din4_x2_c2_b_v2,din4_x2,Fe_N_din4_x2_c2_b_v2,N_din4_x2_c2_b,-616.48,N,din4,Rh_N_din4_x2_c2_b_v2,-627.16,Fe_N_din4_x2_c2_b_v2,-628.016,5.222999999999956,#00ff00
Rh_Fe_N_din4_x2_c2_e_v2,-637.071,Rh,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Rh_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Rh_N_din4_x2_c2_e_v2,-625.435,Fe_N_din4_x2_c2_e_v2,-626.111,-2.0049999999999955,#00ff00
Rh_Fe_N_din4_x2_c3_c,-636.484,Rh,Fe,N,din4,N_din4_x2_c3_c,N_din4_x2_c3_c,3,Rh_N_din4_x2_c3_c,din4_x2,Fe_N_din4_x2_c3_c,N_din4_x2_c3_c,-615.869,N,din4,Rh_N_din4_x2_c3_c,-614.32,Fe_N_din4_x2_c3_c,-626.644,-11.38900000000001,#00ff00
Rh_Fe_N_din4_x2_c3_d,-636.809,Rh,Fe,N,din4,N_din4_x2_c3_d,N_din4_x2_c3_d,3,Rh_N_din4_x2_c3_d,din4_x2,Fe_N_din4_x2_c3_d,N_din4_x2_c3_d,-617.226,N,din4,Rh_N_din4_x2_c3_d,-625.229,Fe_N_din4_x2_c3_d,-626.712,-2.0939999999998236,#00ff00
Rh_Fe_N_din4_x2_c4_a,-636.274,Rh,Fe,N,din4,N_din4_x2_c4_a,N_din4_x2_c4_a,4,Rh_N_din4_x2_c4_a,din4_x2,Fe_N_din4_x2_c4_a,N_din4_x2_c4_a,-616.114,N,din4,Rh_N_din4_x2_c4_a,-627.674,Fe_N_din4_x2_c4_a,-628.622,3.9080000000000155,#00ff00
Rh_Fe_N_din4_x2_c4_b,-635.808,Rh,Fe,N,din4,N_din4_x2_c4_b,N_din4_x2_c4_b,4,Rh_N_din4_x2_c4_b,din4_x2,Fe_N_din4_x2_c4_b,N_din4_x2_c4_b,-614.673,N,din4,Rh_N_din4_x2_c4_b,-626.662,Fe_N_din4_x2_c4_b,-627.579,3.759999999999991,#00ff00
Rh_Fe_N_din4_x2_c4_e,-636.358,Rh,Fe,N,din4,N_din4_x2_c4_e,N_din4_x2_c4_e,4,Rh_N_din4_x2_c4_e,din4_x2,Fe_N_din4_x2_c4_e,N_din4_x2_c4_e,-615.582,N,din4,Rh_N_din4_x2_c4_e,-627.37,Fe_N_din4_x2_c4_e,-628.416,3.8460000000000036,#00ff00
Rh_Fe_N_din4_x2_c5_a,-635.707,Rh,Fe,N,din4,N_din4_x2_c5_a,N_din4_x2_c5_a,5,Rh_N_din4_x2_c5_a,din4_x2,Fe_N_din4_x2_c5_a,N_din4_x2_c5_a,-614.849,N,din4,Rh_N_din4_x2_c5_a,-626.749,Fe_N_din4_x2_c5_a,-628.045,4.237999999999943,#00ff00
Ru_Fe_C_din4_x2_c6,-635.29,Ru,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Ru_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Ru_C_din4_x2_c6,-627.485,Fe_C_din4_x2_c6,-625.429,4.44600000000014,#ff0000
Ru_Fe_N_din4_x2_c1_a,-639.121,Ru,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Ru_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Ru_N_din4_x2_c1_a,-626.023,Fe_N_din4_x2_c1_a,-626.741,-3.1329999999999245,#ff0000
Ru_Fe_N_din4_x2_c2_a,-638.799,Ru,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Ru_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,Ru_N_din4_x2_c2_a,-626.477,Fe_N_din4_x2_c2_a,-627.008,-3.0870000000001028,#ff0000
Ru_Fe_N_din4_x2_c3_c,-637.539,Ru,Fe,N,din4,N_din4_x2_c3_c,N_din4_x2_c3_c,3,Ru_N_din4_x2_c3_c,din4_x2,Fe_N_din4_x2_c3_c,N_din4_x2_c3_c,-615.869,N,din4,Ru_N_din4_x2_c3_c,-615.377,Fe_N_din4_x2_c3_c,-626.644,-11.386999999999944,#ff0000
Ru_Fe_N_din4_x2_c4_f,-615.093,Ru,Fe,N,din4,N_din4_x2_c4_f,N_din4_x2_c4_f,4,Ru_N_din4_x2_c4_f,din4_x2,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,Ru_N_din4_x2_c4_f,-589.698,Fe_N_din4_x2_c4_f,-605.17,-37.30099999999993,#ff0000
Zn_Fe_N_din4_x2_c3_c,-629.1,Zn,Fe,N,din4,N_din4_x2_c3_c,N_din4_x2_c3_c,3,Zn_N_din4_x2_c3_c,din4_x2,Fe_N_din4_x2_c3_c,N_din4_x2_c3_c,-615.869,N,din4,Zn_N_din4_x2_c3_c,-610.862,Fe_N_din4_x2_c3_c,-626.644,-7.463000000000079,#ff00ff
Zn_Fe_N_din4_x2_c4_f,-609.737,Zn,Fe,N,din4,N_din4_x2_c4_f,N_din4_x2_c4_f,4,Zn_N_din4_x2_c4_f,din4_x2,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,Zn_N_din4_x2_c4_f,-618.9,Fe_N_din4_x2_c4_f,-605.17,-2.7430000000001655,#ff00ff
