system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,system_x,tot_energy_M1,system_y,tot_energy_M2,Eint
Ag_Fe_N_din4_x2_c1_a,-628.342,Ag,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Ag_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Ag_N_din4_x2_c1_a,-620.832,Fe_N_din4_x2_c1_a,-626.741,2.455000000000041
Au_Fe_N_din4_x2_c1_a,-628.935,Au,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Au_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Au_N_din4_x2_c1_a,-620.576,Fe_N_din4_x2_c1_a,-626.741,1.606000000000222
Cd_Fe_N_din4_x2_c1_a,-627.737,Cd,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Cd_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Cd_N_din4_x2_c1_a,-620.021,Fe_N_din4_x2_c1_a,-626.741,2.2490000000000236
Co_Fe_N_din4_x2_c1_a,-637.576,Co,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Co_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Co_N_din4_x2_c1_a,-625.259,Fe_N_din4_x2_c1_a,-626.741,-2.3519999999998618
Cu_Fe_N_din4_x2_c1_a,-631.006,Cu,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Cu_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Cu_N_din4_x2_c1_a,-622.767,Fe_N_din4_x2_c1_a,-626.741,1.7260000000001128
Fe_Fe_N_din4_x2_c1_a,-638.958,Fe,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Fe_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Fe_N_din4_x2_c1_a,-626.741,Fe_N_din4_x2_c1_a,-626.741,-2.2519999999999527
Ir_Fe_N_din4_x2_c1_a,-638.622,Ir,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Ir_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Ir_N_din4_x2_c1_a,-627.985,Fe_N_din4_x2_c1_a,-626.741,-0.6719999999999118
Ni_Fe_N_din4_x2_c1_a,-635.381,Ni,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Ni_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Ni_N_din4_x2_c1_a,-623.835,Fe_N_din4_x2_c1_a,-626.741,-1.5809999999999036
Os_Fe_N_din4_x2_c1_a,-640.75,Os,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Os_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Os_N_din4_x2_c1_a,-629.748,Fe_N_din4_x2_c1_a,-626.741,-1.0369999999998072
Pd_Fe_N_din4_x2_c1_a,-634.41,Pd,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Pd_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Pd_N_din4_x2_c1_a,-622.722,Fe_N_din4_x2_c1_a,-626.741,-1.7229999999999563
