system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,system_x,tot_energy_M1,system_y,tot_energy_M2,Eint,color
Au_Fe_N_din6_as_c3_164,-631.095,Au,Fe,N,din6,N_din6_as_c3_164,N_din6_as_c3_164,3,Au_N_din6_as_c3_164,din6_as,Fe_N_din6_as_c3_164,N_din6_as_c3_164,-617.328,N,din6,Au_N_din6_as_c3_164,-620.345,Fe_N_din6_as_c3_164,-627.415,-0.6630000000000109,green
Pd_Fe_N_din6_as_c3_164,-633.612,Pd,Fe,N,din6,N_din6_as_c3_164,N_din6_as_c3_164,3,Pd_N_din6_as_c3_164,din6_as,Fe_N_din6_as_c3_164,N_din6_as_c3_164,-617.328,N,din6,Pd_N_din6_as_c3_164,-622.926,Fe_N_din6_as_c3_164,-627.415,-0.5990000000000464,green
Pt_Fe_N_din6_as_c3_164,-634.711,Pt,Fe,N,din6,N_din6_as_c3_164,N_din6_as_c3_164,3,Pt_N_din6_as_c3_164,din6_as,Fe_N_din6_as_c3_164,N_din6_as_c3_164,-617.328,N,din6,Pt_N_din6_as_c3_164,-623.82,Fe_N_din6_as_c3_164,-627.415,-0.8039999999999736,green
Cd_Fe_N_din6_as_c3_235,-628.46,Cd,Fe,N,din6,N_din6_as_c3_235,N_din6_as_c3_235,3,Cd_N_din6_as_c3_235,din6_as,Fe_N_din6_as_c3_235,N_din6_as_c3_235,-615.565,N,din6,Cd_N_din6_as_c3_235,-619.584,Fe_N_din6_as_c3_235,-626.775,2.3339999999998327,green
Co_Fe_N_din6_as_c3_235,-635.805,Co,Fe,N,din6,N_din6_as_c3_235,N_din6_as_c3_235,3,Co_N_din6_as_c3_235,din6_as,Fe_N_din6_as_c3_235,N_din6_as_c3_235,-615.565,N,din6,Co_N_din6_as_c3_235,-624.683,Fe_N_din6_as_c3_235,-626.775,0.08800000000007913,green
Zn_Fe_N_din6_as_c3_235,-629.985,Zn,Fe,N,din6,N_din6_as_c3_235,N_din6_as_c3_235,3,Zn_N_din6_as_c3_235,din6_as,Fe_N_din6_as_c3_235,N_din6_as_c3_235,-615.565,N,din6,Zn_N_din6_as_c3_235,-620.923,Fe_N_din6_as_c3_235,-626.775,2.147999999999797,green
Cd_Fe_N_din6_as_c3_253,-628.459,Cd,Fe,N,din6,N_din6_as_c3_253,N_din6_as_c3_253,3,Cd_N_din6_as_c3_253,din6_as,Fe_N_din6_as_c3_253,N_din6_as_c3_253,-615.565,N,din6,Cd_N_din6_as_c3_253,-619.584,Fe_N_din6_as_c3_253,-626.775,2.3350000000000364,green
Co_Fe_N_din6_as_c3_253,-635.805,Co,Fe,N,din6,N_din6_as_c3_253,N_din6_as_c3_253,3,Co_N_din6_as_c3_253,din6_as,Fe_N_din6_as_c3_253,N_din6_as_c3_253,-615.565,N,din6,Co_N_din6_as_c3_253,-624.683,Fe_N_din6_as_c3_253,-626.775,0.08800000000007913,green
Zn_Fe_N_din6_as_c3_253,-629.987,Zn,Fe,N,din6,N_din6_as_c3_253,N_din6_as_c3_253,3,Zn_N_din6_as_c3_253,din6_as,Fe_N_din6_as_c3_253,N_din6_as_c3_253,-615.565,N,din6,Zn_N_din6_as_c3_253,-620.923,Fe_N_din6_as_c3_253,-626.775,2.1459999999998445,green
Au_Fe_N_din6_as_c3_346,-631.313,Au,Fe,N,din6,N_din6_as_c3_346,N_din6_as_c3_346,3,Au_N_din6_as_c3_346,din6_as,Fe_N_din6_as_c3_346,N_din6_as_c3_346,-617.437,N,din6,Au_N_din6_as_c3_346,-620.293,Fe_N_din6_as_c3_346,-627.939,-0.5180000000000291,green
Au_Fe_N_din6_as_c4_2456,-631.223,Au,Fe,N,din6,N_din6_as_c4_2456,N_din6_as_c4_2456,4,Au_N_din6_as_c4_2456,din6_as,Fe_N_din6_as_c4_2456,N_din6_as_c4_2456,-615.875,N,din6,Au_N_din6_as_c4_2456,-619.998,Fe_N_din6_as_c4_2456,-627.728,0.6280000000000427,green
Au_Fe_N_din6_as_c4_3456,-631.09,Au,Fe,N,din6,N_din6_as_c4_3456,N_din6_as_c4_3456,4,Au_N_din6_as_c4_3456,din6_as,Fe_N_din6_as_c4_3456,N_din6_as_c4_3456,-616.457,N,din6,Au_N_din6_as_c4_3456,-620.304,Fe_N_din6_as_c4_3456,-627.651,0.4079999999999018,green
Ag_Fe_N_din6_as_c5_12345,-629.664,Ag,Fe,N,din6,N_din6_as_c5_12345,N_din6_as_c5_12345,5,Ag_N_din6_as_c5_12345,din6_as,Fe_N_din6_as_c5_12345,N_din6_as_c5_12345,-615.147,N,din6,Ag_N_din6_as_c5_12345,-618.847,Fe_N_din6_as_c5_12345,-626.865,0.9009999999998399,green
Au_Fe_N_din6_as_c5_12346,-631.415,Au,Fe,N,din6,N_din6_as_c5_12346,N_din6_as_c5_12346,5,Au_N_din6_as_c5_12346,din6_as,Fe_N_din6_as_c5_12346,N_din6_as_c5_12346,-616.891,N,din6,Au_N_din6_as_c5_12346,-620.027,Fe_N_din6_as_c5_12346,-627.119,-1.1599999999999682,green
Ag_Fe_N_din6_s_c0,-610.642,Ag,Fe,N,din6,N_din6_s_c0,N_din6_s_c0,0,Ag_N_din6_s_c0,din6_s,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,Ag_N_din6_s_c0,-604.053,Fe_N_din6_s_c0,-608.718,1.33199999999988,blue
Cd_Fe_N_din6_s_c0,-608.837,Cd,Fe,N,din6,N_din6_s_c0,N_din6_s_c0,0,Cd_N_din6_s_c0,din6_s,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,Cd_N_din6_s_c0,-602.567,Fe_N_din6_s_c0,-608.718,1.6509999999999536,blue
Pt_Fe_N_din6_s_c2_01,-613.808,Pt,Fe,N,din6,N_din6_s_c2_01,N_din6_s_c2_01,2,Pt_N_din6_s_c2_01,din6_s,Fe_N_din6_s_c2_01,N_din6_s_c2_01,-598.699,N,din6,Pt_N_din6_s_c2_01,-608.01,Fe_N_din6_s_c2_01,-608.682,4.184999999999945,blue
Cd_Fe_N_din6_s_c2_02,-608.89,Cd,Fe,N,din6,N_din6_s_c2_02,N_din6_s_c2_02,2,Cd_N_din6_s_c2_02,din6_s,Fe_N_din6_s_c2_02,N_din6_s_c2_02,-598.852,N,din6,Cd_N_din6_s_c2_02,-602.545,Fe_N_din6_s_c2_02,-608.204,3.006999999999948,blue
Pt_Fe_N_din6_s_c2_12,-613.717,Pt,Fe,N,din6,N_din6_s_c2_12,N_din6_s_c2_12,2,Pt_N_din6_s_c2_12,din6_s,Fe_N_din6_s_c2_12,N_din6_s_c2_12,-598.699,N,din6,Pt_N_din6_s_c2_12,-608.01,Fe_N_din6_s_c2_12,-608.705,4.299000000000092,blue
Cd_Fe_N_din6_s_c2_15,-608.89,Cd,Fe,N,din6,N_din6_s_c2_15,N_din6_s_c2_15,2,Cd_N_din6_s_c2_15,din6_s,Fe_N_din6_s_c2_15,N_din6_s_c2_15,-598.852,N,din6,Cd_N_din6_s_c2_15,-602.545,Fe_N_din6_s_c2_15,-608.202,3.0049999999999955,blue
Co_Fe_N_din6_s_c3_012,-615.435,Co,Fe,N,din6,N_din6_s_c3_012,N_din6_s_c3_012,3,Co_N_din6_s_c3_012,din6_s,Fe_N_din6_s_c3_012,N_din6_s_c3_012,-597.538,N,din6,Co_N_din6_s_c3_012,-606.287,Fe_N_din6_s_c3_012,-608.002,1.316000000000031,blue
Pt_Fe_N_din6_s_c3_012,-613.215,Pt,Fe,N,din6,N_din6_s_c3_012,N_din6_s_c3_012,3,Pt_N_din6_s_c3_012,din6_s,Fe_N_din6_s_c3_012,N_din6_s_c3_012,-597.538,N,din6,Pt_N_din6_s_c3_012,-606.914,Fe_N_din6_s_c3_012,-608.002,4.1629999999997835,blue
Cd_Fe_N_din6_s_c3_024,-608.69,Cd,Fe,N,din6,N_din6_s_c3_024,N_din6_s_c3_024,3,Cd_N_din6_s_c3_024,din6_s,Fe_N_din6_s_c3_024,N_din6_s_c3_024,-597.85,N,din6,Cd_N_din6_s_c3_024,-601.383,Fe_N_din6_s_c3_024,-607.085,1.928000000000111,blue
