system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,Ecoh_m1,Ecoh_m2,E_dft_M1M2,color
Ru_Fe_N_din4_x2_c2_b,-638.4,Ru,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Ru_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,-9.8124665,-8.6197175,-3.4878159999999596,red
Zn_Fe_N_din4_x2_c2_b,-628.469,Zn,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Zn_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,-1.61724415,-8.6197175,-1.7520383500000332,red
Ag_Fe_N_din4_x2_c2_c,-629.154,Ag,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Ag_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,-3.20700575,-8.6197175,-0.38427675000001216,red
Au_Fe_N_din4_x2_c2_c,-629.845,Au,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Au_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,-3.8767095,-8.6197175,-0.40557300000004304,red
Cd_Fe_N_din4_x2_c2_c,-628.435,Cd,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Cd_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,-1.2330587,-8.6197175,-1.6392237999999608,red
Co_Fe_N_din4_x2_c2_c,-632.627,Co,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Co_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,-7.3844395,-8.6197175,0.3201570000000302,red
Cu_Fe_N_din4_x2_c2_c,-629.999,Cu,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Cu_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,-4.23458825,-8.6197175,-0.20169425000004004,red
Fe_Fe_N_din4_x2_c2_c,-634.044,Fe,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Fe_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,-8.6197175,-8.6197175,0.1384350000000012,red
Ir_Fe_N_din4_x2_c2_c,-638.798,Ir,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Ir_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,-9.56008375,-8.6197175,-3.6751987500000176,red
Ni_Fe_N_din4_x2_c2_c,-631.322,Ni,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Ni_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,-5.86878875,-8.6197175,0.10950624999998126,red
