System,Metal,Hetatom,Cavity,Base_Cavity,y,Pred_00000,Train_00000,sac_cavity
Cd_N_rol2_din2_c3_a,Cd,N,rol2_din2_c3_a,rol2_din2,-4.00094130000004,-4.17085459491784,False,N_rol2_din2_c3_a
Cd_N_din4_c3,Cd,N,din4_c3,din4,-0.215941299999955,-1.1380930825176,False,N_din4_c3
Cd_N_din3_c1,Cd,N,din3_c1,din3,0.728058700000005,1.08842422655221,False,N_din3_c1
Cd_N_rol3,Cd,N,rol3,rol3,-1.51494129999993,-0.255311778887087,False,N_rol3
Cd_N_din4_c2_s2,Cd,N,din4_c2_s2,din4,-0.386941300000005,-1.24179178280178,False,N_din4_c2_s2
Cd_N_rol3_c2,Cd,N,rol3_c2,rol3,-1.5409413,-1.43011922928062,False,N_rol3_c2
Cd_N_rol1_din2_c2_s2,Cd,N,rol1_din2_c2_s2,rol1_din2,0.782058700000092,1.0453359181203,False,N_rol1_din2_c2_s2
Cd_N_rol2_din2_a,Cd,N,rol2_din2_a,rol2_din2,-3.28994130000002,-2.64115349429789,False,N_rol2_din2_a
Cd_N_rol2_din2_c2_s1,Cd,N,rol2_din2_c2_s1,rol2_din2,-3.77094130000002,-3.45992582228003,False,N_rol2_din2_c2_s1
Cd_N_din4_c2_s1,Cd,N,din4_c2_s1,din4,0.52505870000003,-1.09466169088839,False,N_din4_c2_s1
Cd_N_rol2_din2_c2_s2,Cd,N,rol2_din2_c2_s2,rol2_din2,-3.23594129999994,-3.35823161502739,False,N_rol2_din2_c2_s2
Cd_C_rol2_din2_c4,Cd,C,rol2_din2_c4,rol2_din2,-4.83794130000003,-4.36440614896972,False,C_rol2_din2_c4
Cd_N_din4_c2_d1,Cd,N,din4_c2_d1,din4,-1.07794130000004,-1.24304996995565,False,N_din4_c2_d1
Cd_N_din4,Cd,N,din4,din4,-0.520941299999905,-0.257861468075008,False,N_din4
Cd_C_din4_c4,Cd,C,din4_c4,din4,0.430058700000003,-0.334004068012213,False,C_din4_c4
Cd_C_rol1_din2_c3,Cd,C,rol1_din2_c3,rol1_din2,0.768058699999968,0.507032804176981,False,C_rol1_din2_c3
Cd_N_din4_c1,Cd,N,din4_c1,din4,-0.602941300000013,-0.937072697249002,False,N_din4_c1
Cd_N_rol1_din2_c1_a,Cd,N,rol1_din2_c1_a,rol1_din2,0.728058700000005,1.03688252230224,False,N_rol1_din2_c1_a
