"System","Metal","Hetatom","Cavity","Base_Cavity","y","Pred_00000","Train_00000"
"Cd_S_din4_c2_d1","Cd","S","din4_c2_d1","din4",1.04405870000004,1.10581384269617,"True"
"Cu_P_din4_c1","Cu","P","din4_c1","din4",1.36458825,0.960034179424648,"True"
"Cu_P_rol1_din2_c1_b","Cu","P","rol1_din2_c1_b","rol1_din2",1.77558825000005,1.61179412043477,"True"
"Co_C_rol2_din2_c4","Co","C","rol2_din2_c4","rol2_din2",-4.26556049999998,-4.46902869892604,"True"
"Co_P_rol2_din2_c3_a","Co","P","rol2_din2_c3_a","rol2_din2",-4.27656049999994,-4.16091295225133,"True"
"Ru_P_rol1_din2_c1_b","Ru","P","rol1_din2_c1_b","rol1_din2",1.75346650000003,1.81819422164682,"True"
"Cu_S_rol2_din2_c3_b","Cu","S","rol2_din2_c3_b","rol2_din2",-2.95341174999999,-3.26856235825773,"True"
"Zn_P_rol1_din2_c2_s1","Zn","P","rol1_din2_c2_s1","rol1_din2",1.16224414999996,1.41338686630351,"True"
"Zn_S_rol1_din2","Zn","S","rol1_din2","rol1_din2",1.17324415000004,1.40584544134329,"True"
"Ag_P_rol1_din2_c1_b","Ag","P","rol1_din2_c1_b","rol1_din2",1.82300574999999,1.73235659980804,"True"
"Cd_P_din4_c2_s1","Cd","P","din4_c2_s1","din4",1.78205869999998,1.14078766739107,"True"
"Ni_N_rol2_din2_a","Ni","N","rol2_din2_a","rol2_din2",-3.22921125000007,-3.15018917772719,"True"
"Pd_P_rol2_din2","Pd","P","rol2_din2","rol2_din2",-0.730496749999977,-0.705177979443126,"True"
"Os_N_din3_c1","Os","N","din3_c1","din3",2.14537800000004,1.82385884699691,"True"
"Ir_N_rol2_din2_c2_s1","Ir","N","rol2_din2_c2_s1","rol2_din2",-3.89691625000011,-3.78238254204701,"True"
"Co_P_din3","Co","P","din3","din3",1.02043950000008,1.09416386470176,"True"
"Pd_S_rol3_c1","Pd","S","rol3_c1","rol3",1.06050324999996,1.0935732253654,"True"
"Ag_S_rol1_din2_c2_s2","Ag","S","rol1_din2_c2_s2","rol1_din2",2.39100574999997,1.58568535535091,"True"
"Cd_N_din4_c2_d1","Cd","N","din4_c2_d1","din4",-1.07794130000004,-0.7038378593161,"True"
"Ni_N_din4_c2_s2","Ni","N","din4_c2_s2","din4",-3.63221124999998,-2.59084328567899,"True"
"Fe_S_rol3_c2","Fe","S","rol3_c2","rol3",-1.52828250000002,-1.16872978893514,"True"
"Au_P_din3_c1","Au","P","din3_c1","din3",1.70170950000005,1.7864349485913,"False"
"Co_P_din4_c3","Co","P","din4_c3","din4",-0.499560500000015,-0.726747567760878,"True"
"Ag_S_rol2_din2_c2_s1","Ag","S","rol2_din2_c2_s1","rol2_din2",-0.189994250000048,-0.494027500942199,"True"
